Day(6.4%TBDiseaseONLYPopulation) percentHealthyAverage percentInfectedAverage percentDiseasedAverage percentDeadAverage
10488 41.31999999999999 40.64 6.599999999999999 11.62
10512 41.31 40.64 6.58 11.65
10536 41.3 40.64 6.570000000000001 11.67
10560 41.279999999999994 40.65 6.58 11.67
10584 41.279999999999994 40.63 6.58 11.690000000000001
10608 41.279999999999994 40.62 6.58 11.7
10632 41.279999999999994 40.61 6.570000000000001 11.72
10656 41.269999999999996 40.61 6.559999999999999 11.739999999999998
10680 41.24 40.62 6.58 11.739999999999998
10704 41.23 40.62 6.58 11.75
10728 41.23 40.62 6.570000000000001 11.76
10752 41.21999999999999 40.6 6.539999999999998 11.82
10776 41.209999999999994 40.59 6.539999999999998 11.84
10800 41.18000000000001 40.61 6.550000000000001 11.84
10824 41.14999999999999 40.63 6.550000000000001 11.850000000000001
10848 41.14999999999999 40.63 6.529999999999999 11.87
10872 41.14999999999999 40.6 6.559999999999999 11.87
10896 41.11 40.64 6.539999999999998 11.89
10920 41.059999999999995 40.66 6.559999999999999 11.899999999999999
10944 41.059999999999995 40.65 6.559999999999999 11.910000000000002
10968 41.010000000000005 40.650000000000006 6.599999999999999 11.92
10992 41.010000000000005 40.650000000000006 6.59 11.93
11016 41.010000000000005 40.62 6.59 11.959999999999999
11040 41.0 40.62 6.59 11.97
11064 40.99 40.62 6.599999999999999 11.97
11088 40.98 40.61 6.61 11.979999999999999
11112 40.98 40.61 6.599999999999999 11.99
11136 40.98 40.599999999999994 6.58 12.02
11160 40.970000000000006 40.58 6.58 12.05
11184 40.970000000000006 40.58 6.550000000000001 12.080000000000002
11208 40.970000000000006 40.56999999999999 6.540000000000001 12.1
11232 40.970000000000006 40.55 6.5200000000000005 12.139999999999999
11256 40.970000000000006 40.55 6.500000000000002 12.160000000000002
11280 40.970000000000006 40.55 6.500000000000002 12.160000000000002
11304 40.970000000000006 40.540000000000006 6.510000000000001 12.160000000000002
11328 40.970000000000006 40.510000000000005 6.529999999999999 12.17
11352 40.949999999999996 40.52 6.52 12.189999999999998
11376 40.949999999999996 40.52 6.510000000000001 12.200000000000003
11400 40.93 40.52 6.52 12.21
11424 40.93 40.52 6.499999999999999 12.229999999999999
11448 40.93 40.52 6.4799999999999995 12.250000000000002
11472 40.93 40.510000000000005 6.49 12.250000000000002
11496 40.919999999999995 40.510000000000005 6.4799999999999995 12.27
11520 40.919999999999995 40.50000000000001 6.480000000000001 12.28
11544 40.919999999999995 40.49 6.49 12.28
11568 40.9 40.470000000000006 6.499999999999999 12.310000000000002
11592 40.88999999999999 40.48 6.499999999999999 12.310000000000002
11616 40.88999999999999 40.470000000000006 6.499999999999999 12.32
11640 40.87 40.49 6.49 12.33
11664 40.87 40.49 6.480000000000001 12.34
11688 40.87 40.49 6.459999999999999 12.36
